,1,2,3,4
Population 696,1243242.0,133022.0,100.0,
Population 697,1371262.0,4190.0,,
Population 698,1712851.0,1612.0,142.0,
Population 699,997776.0,2077.0,,
Population 700,899695.0,3908.0,,
Population 701,886696.0,908.0,,
Population 702,1198164.0,785.0,,
Population 703,961193.0,2468.0,,
Population 704,1134519.0,2593.0,,
Population 705,3666918.0,19737.0,,
Population 706,1179797.0,17804.0,107.0,
Population 707,1022249.0,3841.0,,
Population 708,2070820.0,5211.0,,
Population 709,1087537.0,7262.0,,
Population 710,1409950.0,4153.0,,
Population 711,922428.0,1637.0,,
Population 712,2375538.0,7489.0,,
Population 713,899092.0,1329.0,,
Population 714,1967173.0,3068.0,,
Population 715,1280677.0,3417.0,,
Population 716,1130184.0,7806.0,,
Population 717,1640389.0,5036.0,,
Population 718,1566533.0,2480.0,,
Population 719,1288574.0,2830.0,,
Population 720,1236700.0,3158.0,,
Population 721,989045.0,3271.0,,
Population 722,1677042.0,12462.0,,
Population 723,960082.0,4046.0,,
Population 724,1109412.0,1942.0,,
Population 725,1652471.0,7379.0,,
Population 726,2839996.0,11963.0,,
Population 727,7085361.0,37957.0,,
Population 728,1253104.0,4286.0,,
Population 729,1365389.0,4073.0,,
Population 730,898826.0,2758.0,,
Population 731,6831158.0,75937.0,501.0,
Population 732,2295391.0,9028.0,,
Population 733,1121317.0,1735.0,,
Population 734,887033.0,5416.0,,
Population 735,1090043.0,3631.0,,
Population 736,805505.0,4859.0,,
Population 737,3248309.0,11521.0,,
Population 738,1479400.0,4056.0,,
Population 739,862203.0,5297.0,271.0,
Population 740,1034512.0,3740.0,,
Population 741,1868583.0,7109.0,,
Population 742,1276102.0,3477.0,,
Population 743,2210249.0,4091.0,,
Population 744,2303921.0,27070.0,,
Population 745,853717.0,3703.0,,
Population 746,1411802.0,3928.0,,
Population 747,1343643.0,1610.0,,
Population 748,1531140.0,9463.0,,
Population 749,1725095.0,23783.0,123.0,
Population 750,1088275.0,10089.0,,
Population 751,1489774.0,3648.0,,
Population 752,1566978.0,9098.0,,
Population 753,1756092.0,11812.0,,
Population 754,1448837.0,8646.0,,
Population 755,1704418.0,4558.0,,
Population 756,1267821.0,4646.0,,
Population 757,1384808.0,16380.0,,
Population 758,1381922.0,4707.0,,
Population 759,997901.0,2872.0,,
Population 760,875406.0,775.0,,
Population 761,1105228.0,13248.0,,
Population 762,1915142.0,30811.0,,
Population 763,1445102.0,3763.0,,
Population 764,2701728.0,9536.0,131.0,
Population 765,1997024.0,7727.0,,
Population 766,1598601.0,5155.0,,
Population 767,853036.0,2539.0,,
Population 768,1193840.0,1266.0,,
Population 769,3154298.0,12387.0,,
Population 770,1130459.0,1992.0,,
Population 771,1499064.0,4805.0,,
Population 772,1285493.0,2473.0,,
