,1,2,3,4
Population 687,13290.0,82.0,,
Population 688,15941.0,77.0,,
Population 689,12399.0,96.0,,
Population 690,9425.0,9.0,,
Population 691,14753.0,31.0,,
Population 692,8699.0,13.0,,
Population 693,10912.0,6.0,,
Population 694,6982.0,38.0,,
Population 695,12790.0,22.0,,
Population 696,10364.0,1215.0,,
Population 697,11678.0,32.0,,
Population 698,14303.0,12.0,1.0,
Population 699,8345.0,15.0,,
Population 700,7410.0,33.0,,
Population 701,7318.0,11.0,,
Population 702,10123.0,6.0,,
Population 703,8016.0,15.0,,
Population 704,9477.0,23.0,,
Population 705,31436.0,171.0,,
Population 706,9800.0,151.0,1.0,
Population 707,8327.0,42.0,,
Population 708,17727.0,37.0,,
Population 709,8821.0,65.0,,
Population 710,12006.0,22.0,,
Population 711,7631.0,8.0,,
Population 712,20324.0,54.0,,
Population 713,7321.0,9.0,,
Population 714,16559.0,17.0,,
Population 715,10888.0,25.0,,
Population 716,9557.0,68.0,,
Population 717,13923.0,47.0,,
Population 718,13134.0,14.0,,
Population 719,10780.0,23.0,,
Population 720,10271.0,18.0,,
Population 721,8107.0,23.0,,
Population 722,14056.0,130.0,,
Population 723,8065.0,34.0,,
Population 724,9195.0,14.0,,
Population 725,13808.0,69.0,,
Population 726,24077.0,97.0,,
Population 727,60303.0,300.0,,
Population 728,10498.0,37.0,,
Population 729,11570.0,33.0,,
Population 730,7518.0,20.0,,
Population 731,58769.0,644.0,5.0,
Population 732,19826.0,51.0,,
Population 733,9561.0,11.0,,
Population 734,7229.0,45.0,,
Population 735,9245.0,26.0,,
Population 736,6601.0,38.0,,
Population 737,27598.0,103.0,,
Population 738,12754.0,24.0,,
Population 739,7184.0,46.0,,
Population 740,8621.0,34.0,,
Population 741,15799.0,55.0,,
Population 742,10463.0,23.0,,
Population 743,18820.0,34.0,,
Population 744,19501.0,235.0,,
Population 745,7072.0,38.0,,
Population 746,11946.0,35.0,,
Population 747,11526.0,13.0,,
Population 748,12928.0,76.0,,
Population 749,14630.0,198.0,,
Population 750,9060.0,84.0,,
Population 751,12571.0,24.0,,
Population 752,13304.0,93.0,,
Population 753,14705.0,98.0,,
Population 754,12211.0,68.0,,
Population 755,14534.0,24.0,,
Population 756,10755.0,30.0,,
Population 757,11510.0,132.0,,
Population 758,11543.0,34.0,,
Population 759,8441.0,25.0,,
Population 760,7348.0,3.0,,
Population 761,9440.0,102.0,,
Population 762,16206.0,275.0,,
Population 763,12127.0,34.0,,
Population 764,22989.0,79.0,,
Population 765,17005.0,54.0,,
Population 766,13492.0,42.0,,
Population 767,7014.0,14.0,,
Population 768,10069.0,5.0,,
Population 769,27102.0,92.0,,
Population 770,9368.0,14.0,,
Population 771,12761.0,30.0,,
Population 772,10693.0,26.0,,
Population 773,6590.0,65.0,,
Population 774,10800.0,17.0,,
Population 775,10891.0,5.0,,
Population 776,6969.0,24.0,,
Population 777,10886.0,15.0,,
Population 778,9947.0,24.0,,
Population 779,9987.0,74.0,,
Population 780,7181.0,60.0,,
Population 781,9445.0,93.0,,
Population 782,9313.0,31.0,,
Population 783,11896.0,37.0,,
Population 784,9100.0,20.0,,
Population 785,13601.0,22.0,,
Population 786,29261.0,150.0,,
Population 787,15938.0,24.0,,
Population 788,36623.0,122.0,,
Population 789,12269.0,31.0,,
Population 790,9331.0,29.0,,
Population 791,10134.0,27.0,,
Population 792,23260.0,66.0,,
Population 793,9728.0,14.0,,
Population 794,9924.0,3.0,,
Population 795,24291.0,100.0,,
Population 796,10586.0,38.0,,
Population 797,9951.0,38.0,,
Population 798,6894.0,13.0,,
Population 799,15583.0,34.0,,
Population 800,6606.0,5.0,,
Population 801,17496.0,21.0,,
Population 802,12135.0,42.0,,
Population 803,184515.0,2256.0,5.0,
Population 804,9158.0,118.0,,
Population 805,30165.0,159.0,,
Population 806,11117.0,158.0,,
Population 807,9875.0,48.0,,
Population 808,23650.0,63.0,,
Population 809,16458.0,153.0,1.0,
Population 810,7755.0,21.0,,
Population 811,22440.0,119.0,,
Population 812,9514.0,49.0,,
Population 813,7759.0,32.0,,
Population 814,10383.0,115.0,,
Population 815,14708.0,62.0,,
Population 816,19067.0,17.0,,
Population 817,11448.0,25.0,,
Population 818,11515.0,72.0,,
Population 819,11315.0,17.0,,
Population 820,7341.0,29.0,,
Population 821,7888.0,10.0,,
Population 822,7598.0,163.0,,
Population 823,15321.0,88.0,,
Population 824,7389.0,11.0,,
Population 825,11697.0,41.0,,
Population 826,10978.0,99.0,,
Population 827,11212.0,36.0,,
Population 828,8588.0,13.0,,
Population 829,9962.0,32.0,,
Population 830,7766.0,65.0,,
Population 831,8213.0,34.0,,
Population 832,14577.0,71.0,,
Population 833,10993.0,34.0,,
Population 834,41711.0,177.0,,
Population 835,15140.0,10.0,,
Population 836,10293.0,42.0,,
Population 837,16004.0,89.0,,
Population 838,10624.0,2.0,,
Population 839,19846.0,107.0,,
Population 840,7864.0,22.0,,
Population 841,11549.0,17.0,,
Population 842,9550.0,30.0,4.0,
Population 843,10804.0,43.0,,
Population 844,9275.0,10.0,,
Population 845,9308.0,45.0,,
Population 846,7570.0,20.0,,
Population 847,11618.0,32.0,,
Population 848,11144.0,19.0,,
Population 849,15029.0,50.0,,
Population 850,7271.0,24.0,,
Population 851,8949.0,26.0,,
Population 852,8970.0,28.0,,
Population 853,7413.0,19.0,,
Population 854,11544.0,21.0,,
Population 855,12422.0,48.0,,
Population 856,7061.0,8.0,,
Population 857,10900.0,23.0,,
Population 858,10031.0,44.0,,
Population 859,11566.0,28.0,3.0,
Population 860,14507.0,78.0,,
